	set1_id	set1_country	set1_city	set1_orgvisibility	set2_id	set2_country	set2_city	set2_orgvisibility	set1_orgname_with_city	set2_orgname_with_city	similarity
57	60308779	United States	New Haven	true	60322033	United States	New Haven	true	Kolltan Pharmaceuticals Inc., New Haven	Kolltan Pharmaceuticals, Inc., New Haven	1.0
58	60297205	United States	Waltham	true	60314879	United States	Waltham	true	Oxigene, Inc., Waltham	OxiGene, Inc., Waltham	1.0
59	60314879	United States	Waltham	true	60297205	United States	Waltham	true	OxiGene, Inc., Waltham	Oxigene, Inc., Waltham	1.0
60	60321696	United States	Sylmar	false	60308897	United States	Sylmar	true	Pacesetter, Inc., Sylmar	​Pacesetter, Inc., Sylmar	1.0
61	60308897	United States	Sylmar	true	60321696	United States	Sylmar	false	​Pacesetter, Inc., Sylmar	Pacesetter, Inc., Sylmar	1.0
62	60119405	Switzerland	Stans	true	60298317	Switzerland	Stans	true	ROSEN Swiss AG, Stans	Rosen Swiss AG, Stans	1.0
63	60298317	Switzerland	Stans	true	60119405	Switzerland	Stans	true	Rosen Swiss AG, Stans	ROSEN Swiss AG, Stans	1.0
64	60007843	United States	Albuquerque	true	60014682	United States	Albuquerque	true	Sandia National Laboratories, Albuquerque	Sandia National Laboratories, Albuquerque	1.0
65	60014682	United States	Albuquerque	true	60007843	United States	Albuquerque	true	Sandia National Laboratories, Albuquerque	Sandia National Laboratories, Albuquerque	1.0
66	60300181	China	Shanghai	true	60299680	China	Shanghai	true	Tezign (Shanghai) Information Technology Co., Ltd, Shanghai	Tezign (Shanghai) Information Technology Co., Ltd., Shanghai	1.0
67	60300181	China	Shanghai	true	60299680	China	Shanghai	true	Tezign (Shanghai) Information Technology Co., Ltd, Shanghai	Tezign (Shanghai) Information And Technology Co., Ltd., Shanghai	1.0
68	60299680	China	Shanghai	true	60300181	China	Shanghai	true	Tezign (Shanghai) Information Technology Co., Ltd., Shanghai	Tezign (Shanghai) Information Technology Co., Ltd, Shanghai	1.0
